Date,Week,Temperature(C),Humidity(%),LightLevel(lux),Vine1_Length(m),Vine2_Length(m),Vine3_Length(m),Vine4_Length(m),Vine1_Leaves,Vine2_Leaves,Vine3_Leaves,Vine4_Leaves
01/01/2022,1,25.3,70.8,34153,0.5,0.63,0.65,0.58,4,5,4,7
08/01/2022,2,24.4,73.6,28593,0.68,0.72,0.62,0.75,5,7,6,8
15/01/2022,3,24.8,79.4,32736,0.69,0.87,0.75,0.79,6,8,7,9
22/01/2022,4,23.2,72.6,30100,0.76,0.86,0.92,0.96,8,10,7,11
29/01/2022,5,23.4,77,31486,0.86,1.04,1.05,0.95,9,10,10,12
05/02/2022,6,24.7,76.8,28217,0.95,1.16,0.99,1,11,12,11,13
12/02/2022,7,23.2,78.1,28219,1.2,1.16,1.15,1.12,12,13,12,14
19/02/2022,8,23.6,75.7,33772,1.25,1.26,1.26,1.36,13,12,13,16
26/02/2022,9,24.3,71.3,34329,1.35,1.43,1.33,1.45,14,14,14,17
05/03/2022,10,25.1,70.3,30197,1.41,1.46,1.41,1.45,16,17,16,18
12/03/2022,11,24.5,70.6,29028,1.47,1.58,1.43,1.55,18,17,17,19
19/03/2022,12,25.1,76.4,29169,1.59,1.67,1.46,1.75,18,18,19,21
26/03/2022,13,26,75.5,31741,1.72,1.84,1.67,1.73,20,19,21,21
02/04/2022,14,26.3,79.5,30625,1.73,1.87,1.83,1.85,21,20,22,22
09/04/2022,15,24.5,73,34736,1.92,1.86,1.73,2.02,21,21,22,24
16/04/2022,16,26.5,71.7,34692,2.02,1.99,1.95,2.19,23,22,24,25
23/04/2022,17,25.3,72.6,29232,2.07,2.19,2.03,2.15,26,24,25,26
30/04/2022,18,25.8,79.6,30981,2.22,2.17,2.02,2.29,27,24,27,29
07/05/2022,19,24,72.3,31555,2.29,2.21,2.16,2.48,27,26,28,30
14/05/2022,20,23.6,76.8,31983,2.44,2.32,2.19,2.56,30,27,30,30
21/05/2022,21,24.2,77,31241,2.54,2.5,2.41,2.59,30,29,31,31
28/05/2022,22,25.2,70.1,31081,2.56,2.57,2.34,2.73,31,31,32,34
04/06/2022,23,25.4,72.8,32680,2.73,2.68,2.42,2.76,32,31,34,33
11/06/2022,24,23.2,74.1,29821,2.73,2.78,2.5,2.87,34,33,36,36
18/06/2022,25,25.2,78,31287,2.88,2.85,2.7,3.07,36,32,37,37
25/06/2022,26,25,75.1,31241,3.07,2.94,2.77,3.13,37,35,37,38
02/07/2022,27,25.1,72,31975,3.18,3,2.88,3.24,38,37,40,40
09/07/2022,28,25,73.3,32366,3.31,3.11,2.87,3.23,38,37,40,40
16/07/2022,29,23.2,77.4,31172,3.29,3.19,3.06,3.49,40,39,42,42
23/07/2022,30,25.1,75.5,31745,3.52,3.41,3.17,3.63,41,39,43,42
30/07/2022,31,22.9,71.4,30050,3.54,3.37,3.16,3.62,44,41,45,44
06/08/2022,32,25.2,79.4,29780,3.59,3.56,3.29,3.69,44,42,46,46
